,Date,Country,NewConfirmed,NewDeaths
10429,2020-02-10,Kyrgyzstan,,
10430,2020-02-11,Kyrgyzstan,,
10431,2020-02-12,Kyrgyzstan,,
10432,2020-02-13,Kyrgyzstan,,
10433,2020-02-14,Kyrgyzstan,,
10434,2020-02-15,Kyrgyzstan,,
10435,2020-02-16,Kyrgyzstan,,
10436,2020-02-17,Kyrgyzstan,,
10437,2020-02-18,Kyrgyzstan,,
10438,2020-02-19,Kyrgyzstan,,
10439,2020-02-20,Kyrgyzstan,,
10440,2020-02-21,Kyrgyzstan,,
10441,2020-02-22,Kyrgyzstan,,
10442,2020-02-23,Kyrgyzstan,,
10443,2020-02-24,Kyrgyzstan,,
10444,2020-02-25,Kyrgyzstan,,
10445,2020-02-26,Kyrgyzstan,,
10446,2020-02-27,Kyrgyzstan,,
10447,2020-02-28,Kyrgyzstan,,
10448,2020-02-29,Kyrgyzstan,,
10449,2020-03-01,Kyrgyzstan,,
10450,2020-03-02,Kyrgyzstan,,
10451,2020-03-03,Kyrgyzstan,,
10452,2020-03-04,Kyrgyzstan,,
10453,2020-03-05,Kyrgyzstan,,
10454,2020-03-06,Kyrgyzstan,,
10455,2020-03-07,Kyrgyzstan,,
10456,2020-03-08,Kyrgyzstan,,
10457,2020-03-09,Kyrgyzstan,,
10458,2020-03-10,Kyrgyzstan,,
10459,2020-03-11,Kyrgyzstan,,
10460,2020-03-12,Kyrgyzstan,,
10461,2020-03-13,Kyrgyzstan,,
10462,2020-03-14,Kyrgyzstan,,
10463,2020-03-15,Kyrgyzstan,,
10464,2020-03-16,Kyrgyzstan,,
10465,2020-03-17,Kyrgyzstan,,
10466,2020-03-18,Kyrgyzstan,,
10467,2020-03-19,Kyrgyzstan,3.0,0.0
10468,2020-03-20,Kyrgyzstan,3.0,0.0
10469,2020-03-21,Kyrgyzstan,0.0,0.0
10470,2020-03-22,Kyrgyzstan,8.0,0.0
10471,2020-03-23,Kyrgyzstan,0.0,0.0
